Trial_ID,Device,Trial_Num,Start_Time,End_Time,Timeout_sec,Notes
TO-01,AirTag,1,2026-05-03 01:01:44.279,2026-05-03 01:09:52.683,488.404,
TO-02,AirTag,2,2026-05-03 01:30:10.093,2026-05-03 01:43:32.432,802.339,
TO-03,AirTag,3,2026-05-03 01:52:48.465,2026-05-03 02:10:20.579,1052.114,
TO-04,AirTag,4,2026-05-03 02:18:04.433,2026-05-03 02:28:54.279,649.846,
TO-05,AirTag,5,2026-05-03 02:37:38.559,2026-05-03 02:50:03.948,745.389,
TO-06,AirTag,6,2026-05-03 03:00:24.065,2026-05-03 03:12:14.258,710.193,
TO-07,AirTag,7,2026-05-03 03:34:25.947,2026-05-03 03:49:31.905,905.958,
TO-08,AirTag,8,2026-05-03 04:02:43.691,2026-05-03 04:18:15.617,931.926,
TO-09,AirTag,9,2026-05-03 04:28:30.432,2026-05-03 04:43:48.216,917.784,
TO-10,AirTag,10,2026-05-03 04:55:18.794,2026-05-03 05:03:29.642,490.848,
TO-11,AirPods,1,2026-05-03 05:42:02.203,2026-05-03 05:46:19.137,256.934,
TO-12,AirPods,2,2026-05-03 12:08:12.519,2026-05-03 12:22:50.346,877.827,
TO-13,AirPods,3,2026-05-03 12:33:46.684,2026-05-03 12:34:09.531,22.847,
TO-14,AirPods,4,2026-05-03 12:39:48.846,2026-05-03 12:40:04.582,15.736,
TO-15,AirPods,5,2026-05-03 12:46:44.631,2026-05-03 13:00:41.898,837.267,
TO-16,AirPods,6,2026-05-03 13:14:07.704,2026-05-03 13:30:18.785,971.081,
TO-17,AirPods,7,2026-05-03 13:39:56.971,2026-05-03 13:54:52.848,895.877,
TO-18,AirPods,8,2026-05-03 14:04:00.650,2026-05-03 14:15:14.210,673.56,
TO-19,AirPods,9,2026-05-03 14:25:04.403,2026-05-03 14:37:43.886,759.483,
TO-20,AirPods,10,2026-05-03 16:07:02.723,2026-05-03 16:07:51.090,48.367,
TO-21,AppleWatch,1,2026-05-03 05:19:50.199,2026-05-03 05:20:06.025,15.826,
TO-22,AppleWatch,2,2026-05-03 05:22:29.914,2026-05-03 05:22:37.736,7.822,
TO-23,AppleWatch,3,2026-05-03 05:25:03.220,2026-05-03 05:25:14.010,10.79,
TO-24,AppleWatch,4,2026-05-03 05:27:22.030,2026-05-03 05:27:37.081,15.051,
TO-25,AppleWatch,5,2026-05-03 05:30:42.835,2026-05-03 05:30:56.256,13.421,
TO-26,AppleWatch,6,2026-05-03 05:32:22.881,2026-05-03 05:32:36.727,13.846,
TO-27,AppleWatch,7,2026-05-03 05:34:45.930,2026-05-03 05:35:00.637,14.707,
TO-28,AppleWatch,8,2026-05-03 05:36:01.740,2026-05-03 05:36:11.949,10.209,
TO-29,AppleWatch,9,2026-05-03 05:37:22.503,2026-05-03 05:37:36.353,13.85,
TO-30,AppleWatch,10,2026-05-03 05:39:00.837,2026-05-03 05:39:13.395,12.558,
TO-31,iPhone_PowerOff,1,,,,
TO-32,iPhone_PowerOff,2,,,,
TO-33,iPhone_PowerOff,3,,,,
TO-34,iPhone_PowerOff,4,,,,
TO-35,iPhone_PowerOff,5,,,,
TO-36,iPhone_PowerOff,6,,,,
TO-37,iPhone_PowerOff,7,,,,
TO-38,iPhone_PowerOff,8,,,,
TO-39,iPhone_PowerOff,9,,,,
TO-40,iPhone_PowerOff,10,,,,
