PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 01:01:44.279,159591893,c0:19:43:8f:ec:05,-20,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:01:46.291,161592851,c0:19:43:8f:ec:05,-20,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:01:48.346,163661077,c0:19:43:8f:ec:05,-16,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:01:52.379,167651313,c0:19:43:8f:ec:05,-18,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:02:06.349,181659123,c0:19:43:8f:ec:05,-20,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:02:10.424,185738273,c0:19:43:8f:ec:05,-17,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:02:12.418,187731977,c0:19:43:8f:ec:05,-17,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:02:28.344,203662239,c0:19:43:8f:ec:05,-18,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:02:46.383,221701184,c0:19:43:8f:ec:05,-17,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:02:58.470,233791016,c0:19:43:8f:ec:05,-17,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:02.450,237760520,c0:19:43:8f:ec:05,-18,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:08.520,243831444,c0:19:43:8f:ec:05,-17,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:30.610,265867196,c0:19:43:8f:ec:05,-16,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:34.633,269871495,c0:19:43:8f:ec:05,-18,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:38.604,273858239,c0:19:43:8f:ec:05,-20,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:46.880,282192663,de:fa:85:92:cf:ae,-40,0x1EFF4C00121950F9404C082103B2F03F12BC61E40977F033D0F5763AA503C0,31,0,0,1,0
2026-05-03 01:03:56.655,291972197,c0:19:43:8f:ec:05,-18,0x07FF4C0012021002,8,0,0,1,0
2026-05-03 01:03:58.600,293906166,c0:19:43:8f:ec:05,-18,0x07FF4C0012021002,8,0,0,1,0
