Address,Start,End,Duration
DF:F7:AE:55:E9:40,0 days 00:00:00,0 days 00:14:00,0 days 00:14:00
EE:8F:EB:A5:4F:B6,0 days 00:14:00,0 days 00:29:00,0 days 00:15:00
FB:3A:74:CC:E3:23,0 days 00:29:00,0 days 00:44:00,0 days 00:15:00
D9:3E:9C:53:38:A4,0 days 00:44:00,0 days 00:59:00,0 days 00:15:00
F8:5F:6B:31:FE:33,0 days 00:59:00,0 days 01:14:00,0 days 00:15:00
DD:14:EE:7B:BC:5A,0 days 01:14:00,0 days 01:29:00,0 days 00:15:00
C9:9B:15:F2:26:09,0 days 01:29:00,0 days 01:44:00,0 days 00:15:00
EF:B0:61:61:E4:9E,0 days 01:44:00,0 days 01:59:00,0 days 00:15:00
E2:F0:DF:E2:F7:46,0 days 01:59:00,0 days 02:03:00,0 days 00:04:00
